Date,Open,High,Low,Close,Volume,Adj Close
2004-11-25,440000,444500,438000,441000,443700,415844.45
2004-11-26,438500,446000,431500,433000,535000,408300.79
2004-11-29,429000,431000,423500,426000,625400,401700.08
2004-11-30,427000,435000,425500,434500,614000,409715.22
2004-12-01,428500,430500,424500,429000,433400,404528.96
2004-12-02,436000,438000,427000,428500,519900,404057.48
2004-12-03,433000,434000,423000,426000,692000,401700.08
2004-12-06,425000,425000,418000,418000,393300,394156.42
2004-12-07,414500,418500,410500,411000,535500,387555.71
2004-12-08,405500,419500,403000,419500,544300,395570.85
2004-12-09,417000,420500,410000,413000,801700,389441.63
2004-12-10,411000,412000,404500,406000,517600,382840.92
2004-12-13,400000,403500,399000,402000,490500,379069.09
2004-12-14,402000,413500,402000,412500,553600,388970.15
2004-12-15,418000,428500,418000,428500,669600,404057.48
2004-12-16,433500,444000,432000,440000,861800,414901.49
2004-12-17,441000,444500,435500,444000,450200,418673.32
2004-12-20,437000,446000,437000,445000,347000,419616.28
2004-12-21,446000,447000,440000,446000,299600,420559.24
2004-12-22,448500,449500,442000,442500,314700,417258.89
2004-12-23,445000,446000,432000,434500,317500,409715.22
2004-12-24,434500,435000,430000,433000,318300,408300.79
2004-12-27,433000,437500,431500,437500,235400,412544.1
2004-12-28,436000,438000,431500,436000,272700,411129.66
2004-12-29,434000,444500,433500,444500,342100,419144.8
2004-12-30,443000,451000,443000,450500,345300,424802.55
2004-12-31,450500,450500,450500,450500,0,424802.55
2005-01-03,452500,453000,446000,451000,218500,425274.03
2005-01-04,450000,451000,446000,447000,280300,421502.2
2005-01-05,440000,443000,436500,443000,467300,417730.37
2005-01-06,439000,445500,435000,435000,343000,410186.7
2005-01-07,441000,441500,435500,440500,272300,415372.97
2005-01-10,442000,442000,437500,438000,250100,413015.58
2005-01-11,438000,442000,433500,442000,557100,416787.41
2005-01-12,443500,444000,440000,442000,294400,416787.41
2005-01-13,442000,447000,441000,444000,473900,418673.32
2005-01-14,440000,474000,439500,471500,1438000,444604.67
